mutation_rate,tournament_size,elite_rate,gen,best_fitness,avg_fitness
0.2,5,0.2,3,188.94087692695587,173.46737204221944
0.2,5,0.2,4,194.11362691733444,180.49337880519576
0.2,5,0.2,5,202.01973464856437,189.11958249784135
0.2,5,0.2,6,202.39452677303717,190.9196168381185
0.2,5,0.2,7,223.57172190586513,197.02741676941744
0.2,5,0.2,8,225.71356264381217,209.728685048481
0.2,5,0.2,9,231.46607825798435,219.30997420296532
0.2,5,0.2,10,234.05622387295222,224.7941175620453
0.2,5,0.2,11,242.66807642129731,227.8193339105415
0.2,5,0.2,12,243.15967294142737,237.27806150414068
