experiment,condition,seed,generation_count,gen,population_size,mutation_rate,tournament_size,elite_rate,architecture,parameter_count,input_pattern,weight_profile,best_fitness,avg_fitness
seed_repeat,default_0.05_t3,46,24,1,16,0.05,3,0.2,1x16,242,default,baseline,166.87221288199402,139.34256734628065
seed_repeat,default_0.05_t3,46,24,2,16,0.05,3,0.2,1x16,242,default,baseline,166.93555242352002,133.99019957135062
seed_repeat,default_0.05_t3,46,24,3,16,0.05,3,0.2,1x16,242,default,baseline,166.93555242352002,146.61924826326018
seed_repeat,default_0.05_t3,46,24,4,16,0.05,3,0.2,1x16,242,default,baseline,174.82843892613505,137.13317806451641
seed_repeat,default_0.05_t3,46,24,5,16,0.05,3,0.2,1x16,242,default,baseline,174.82843892613505,152.03120768010567
seed_repeat,default_0.05_t3,46,24,6,16,0.05,3,0.2,1x16,242,default,baseline,174.82843892613505,162.68203178902016
seed_repeat,default_0.05_t3,46,24,7,16,0.05,3,0.2,1x16,242,default,baseline,177.30232748102048,170.04325662442872
seed_repeat,default_0.05_t3,46,24,8,16,0.05,3,0.2,1x16,242,default,baseline,179.20573863583627,171.9795126758786
seed_repeat,default_0.05_t3,46,24,9,16,0.05,3,0.2,1x16,242,default,baseline,192.00101701773895,175.6358067725045
seed_repeat,default_0.05_t3,46,24,10,16,0.05,3,0.2,1x16,242,default,baseline,192.00101701773895,179.0645598881805
seed_repeat,default_0.05_t3,46,24,11,16,0.05,3,0.2,1x16,242,default,baseline,192.00101701773895,181.78074531744412
seed_repeat,default_0.05_t3,46,24,12,16,0.05,3,0.2,1x16,242,default,baseline,193.62118705979185,187.562347723078
seed_repeat,default_0.05_t3,46,24,13,16,0.05,3,0.2,1x16,242,default,baseline,193.62118705979185,191.08509605366575
seed_repeat,default_0.05_t3,46,24,14,16,0.05,3,0.2,1x16,242,default,baseline,195.23838270335372,191.8612251206684
seed_repeat,default_0.05_t3,46,24,15,16,0.05,3,0.2,1x16,242,default,baseline,195.23838270335372,192.67425051350335
seed_repeat,default_0.05_t3,46,24,16,16,0.05,3,0.2,1x16,242,default,baseline,197.36670242282867,194.31076189686704
seed_repeat,default_0.05_t3,46,24,17,16,0.05,3,0.2,1x16,242,default,baseline,216.01663433129906,197.17547728275008
seed_repeat,default_0.05_t3,46,24,18,16,0.05,3,0.2,1x16,242,default,baseline,216.01663433129906,201.8825129511469
seed_repeat,default_0.05_t3,46,24,19,16,0.05,3,0.2,1x16,242,default,baseline,216.16203403940082,207.19752855220105
seed_repeat,default_0.05_t3,46,24,20,16,0.05,3,0.2,1x16,242,default,baseline,216.60832278741512,210.78212518395384
seed_repeat,default_0.05_t3,46,24,21,16,0.05,3,0.2,1x16,242,default,baseline,217.61280430817408,212.84496039779657
seed_repeat,default_0.05_t3,46,24,22,16,0.05,3,0.2,1x16,242,default,baseline,220.029409869411,215.7940313101303
seed_repeat,default_0.05_t3,46,24,23,16,0.05,3,0.2,1x16,242,default,baseline,223.98176840635318,217.83861908084316
seed_repeat,default_0.05_t3,46,24,24,16,0.05,3,0.2,1x16,242,default,baseline,223.98176840635318,219.9842454555607
seed_repeat,fast_best_0.20_t3,42,24,0,16,0.2,3,0.2,1x16,242,default,baseline,174.64691605755775,123.93725940568496
seed_repeat,fast_best_0.20_t3,42,24,1,16,0.2,3,0.2,1x16,242,default,baseline,174.64691605755775,149.9735631191275
seed_repeat,fast_best_0.20_t3,42,24,2,16,0.2,3,0.2,1x16,242,default,baseline,175.77925515143556,162.84905624686684
seed_repeat,fast_best_0.20_t3,42,24,3,16,0.2,3,0.2,1x16,242,default,baseline,184.9181572675499,163.57598979576687
seed_repeat,fast_best_0.20_t3,42,24,4,16,0.2,3,0.2,1x16,242,default,baseline,193.71439699976642,176.28119121837767
seed_repeat,fast_best_0.20_t3,42,24,5,16,0.2,3,0.2,1x16,242,default,baseline,208.9421397845534,182.81092961994028
seed_repeat,fast_best_0.20_t3,42,24,6,16,0.2,3,0.2,1x16,242,default,baseline,221.23497890919347,188.49165310351876
seed_repeat,fast_best_0.20_t3,42,24,7,16,0.2,3,0.2,1x16,242,default,baseline,230.7250220894531,199.56671196231324
